Model,MAE,RMSE,MSE
Prophet,3.60551826079381,5.09312021081214,25.9398734817831
LSTM,2.91377949714661,3.5217891652192,12.4029989242554
SARIMA,5.46788186161846,6.13699353549245,37.6626896546761
ARIMA,12.3940389447466,13.5146045136763,182.64453516108
ARMA,6.79503441481572,7.83852257209109,61.4424361131815
MA,5.39386171573653,6.05951863751727,36.7177661184192
AR,5.38901832864014,6.05192580552803,36.6258059556161
