,Model,MAE,RMSE,MSE
0,SARIMA,8.314932192204232,9.527215092061052,90.76782741039587
1,ARIMA,8.940819739215065,10.583052054979467,112.0009907984051
2,ARMA,8.398003086138607,9.67255292101942,93.55828000992132
3,MA,8.397819121292688,9.672412219328816,93.5555581406214
4,AR,8.399196514297815,9.673861277296306,93.5835920123729
